,active_from,active_to,birth_year,birth_date,Height_in_feet,college,height,player_name,position,weight,NBA__3ptapg,NBA__3ptpct,NBA__3ptpg,NBA_efgpct,NBA_fg%,NBA_fg_per_game,NBA_fga_per_game,NBA_ft%,NBA_ft_per_g,NBA_fta_p_g,NBA_g_played,NBA_ppg,NCAA__3ptapg,NCAA__3ptpct,NCAA__3ptpg,NCAA_fgapg,NCAA_fgpct,NCAA_fgpg,NCAA_ft,NCAA_ftapg,NCAA_ftpg,NCAA_games,NCAA_ppg,Years_played,Draft_age,WinShare/48,WingSpan,Standing_vert,Max_vertical,Agility,Sprint,Draft_Pick
2660,2015,2016,1992,6/6/1992,6.1,University of Michigan,6.10.2020,Mitch McGary,F-C,255,0.1,0,0,0.527,0.527,1.9,3.6,0.58,0.6,1,52,4.4,0,0,0,5.9,0.588,3.5,0.513,1.6,0.8,47,7.8,1,23,0.127,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
1648,2016,2018,1994,1/26/1994,6.8,University of Louisville,6.8.2020,Montrezl Harrell,F-C,240,0.1,0.133,0,0.648,0.647,3.6,5.6,0.624,1.4,2.2,171,8.6,0.4,0.275,0.1,8.1,0.586,4.8,0.533,3.6,1.9,112,11.6,2,22,0.147,88.25,109,0,0,0,32
4032,2012,2012,1988,6/1/1988,6.6,Pepperdine University,6.6.2020,Mychel Thompson,G,211,2.2,0.364,0.8,0.375,0.292,1.4,4.8,,0,0,5,3.6,4.6,0.326,1.5,10.7,0.357,3.8,0.76,2.5,1.9,128,11,0,24,-0.079,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4113,2016,2018,1996,3/24/1996,6.11,University of Texas at Austin,6.11.2020,Myles Turner,C-F,243,1.4,0.35,0.5,0.523,0.499,4.9,9.9,0.783,2.4,3.1,205,12.8,1.8,0.274,0.5,7.6,0.455,3.4,0.839,3.3,2.8,34,10.1,2,20,0.114,88,112,0,0,0,11
953,2013,2014,1987,6/23/1987,6.5,,6.5.2020,Nando De Colo,G,200,1.1,0.363,0.4,0.491,0.429,1.4,3.3,0.835,0.6,0.7,119,3.8,,,,,,,,,,,,1,26,0.07,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4496,2014,2018,1991,5/15/1991,6.4,South Dakota State University,6.4.2020,Nate Wolters,G,190,0.8,0.261,0.2,0.442,0.423,2.3,5.4,0.635,0.7,1.1,84,5.5,3.6,0.342,1.2,13.5,0.45,6.1,0.803,6.4,5.1,127,18.5,4,23,0.043,75.75,98,0,0,0,38
330,2016,2018,1988,5/9/1988,6.1,,6.10.2020,Nemanja Bjelica,F,240,2.5,0.373,0.9,0.546,0.451,2.3,5,0.752,0.6,0.8,190,6.1,,,,,,,,,,,,2,28,0.149,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2946,2014,2014,1991,6/16/1991,6.3,,6.3.2020,Nemanja Nedovic,G,192,0.8,0.167,0.1,0.244,0.205,0.3,1.6,0.875,0.3,0.3,24,1.1,,,,,,,,,,,,0,23,-0.132,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2987,2015,2018,1994,4/10/1994,6.11,University of Kentucky,6.11.2020,Nerlens Noel,C-F,228,0,0.25,0,0.512,0.512,3.8,7.4,0.624,1.7,2.7,223,9.3,0,,0,6.9,0.59,4.1,0.529,4.3,2.3,24,10.5,3,21,0.083,87.75,110,0,0,0,6
596,2014,2015,1989,2/7/1989,6.6,University of Florida,6.6.2020,Nick Calathes,G,213,0.8,0.288,0.2,0.468,0.441,1.9,4.3,0.581,0.5,0.9,129,4.6,4.8,0.38,1.8,11.6,0.455,5.3,0.715,5.4,3.9,72,16.3,1,25,0.062,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2046,2015,2015,1992,12/22/1992,6.3,University of Arizona,6.3.2020,Nick Johnson,G,202,0.8,0.238,0.2,0.38,0.347,0.9,2.7,0.68,0.6,0.9,28,2.6,3.7,0.359,1.3,9.7,0.421,4.1,0.734,3.9,2.8,108,12.3,0,23,-0.02,79.25,96.5,138,10.8,3.27,42
3858,2015,2018,1993,10/7/1993,6.6,University of Michigan,6.6.2020,Nik Stauskas,G,205,3.5,0.351,1.2,0.487,0.386,2.3,6.1,0.805,1.1,1.3,265,7,5.2,0.441,2.3,9.2,0.467,4.3,0.832,3.9,3.2,75,14.1,3,22,0.021,79.75,102,137.5,10.79,3.27,8
2066,2016,2018,1995,2/19/1995,6.1,,6.10.2020,Nikola Jokic,C-F,250,2.2,0.364,0.8,0.567,0.53,5.7,10.7,0.831,2.7,3.2,226,14.8,,,,,,,,,,,,2,21,0.089,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
2792,2015,2018,1991,2/11/1991,6.1,,6.10.2020,Nikola Mirotic,F,220,5.1,0.357,1.8,0.515,0.417,3.9,9.3,0.801,2.1,2.7,271,11.7,,,,,,,,,,,,3,24,0.165,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
4187,2012,2018,1990,10/24/1990,7.1,University of Southern California,7.1.2000,Nikola Vucevic,C,260,0.7,0.309,0.2,0.507,0.499,6.6,13.2,0.729,1.5,2,454,14.8,1.4,0.303,0.4,8.3,0.509,4.2,0.746,2.9,2.2,87,11.1,6,22,0.109,88.5,112.5,137.5,12.02,3.27,16
4180,2015,2018,1995,8/24/1995,6.1,Indiana University,6.10.2020,Noah Vonleh,F,240,0.6,0.297,0.2,0.469,0.444,1.6,3.7,0.664,0.7,1,231,4.1,1.1,0.485,0.5,7.2,0.523,3.8,0.716,4.5,3.2,30,11.3,3,20,0.085,88.25,108,145,11.45,3.28,9
3791,2012,2013,1988,7/25/1988,6.2,Duke University,6.2.2020,Nolan Smith,G,185,0.9,0.26,0.2,0.403,0.371,1.3,3.5,0.714,0.5,0.7,84,3.3,3.2,0.368,1.2,10.4,0.448,4.7,0.8,3.6,2.9,143,13.4,1,24,-0.029,77.5,99,133,11.05,3.17,21
3270,2016,2018,1993,5/25/1993,6.4,"University of California, Los Angeles",6.4.2020,Norman Powell,G,215,2.3,0.328,0.8,0.495,0.43,2.5,5.7,0.801,1,1.3,193,6.7,2.5,0.314,0.8,7.7,0.461,3.6,0.746,2.5,1.8,141,9.8,2,23,-0.287,82.75,102.5,143,10.76,3.2,46
